id1,id2
MD.model.ptg000007l.1234,ptg000007lG001055
MD.model.ptg000007l.1235,ptg000007lG001056
MD.model.ptg000007l.1237,ptg000007lG001058
MD.model.ptg000007l.1238,ptg000007lG001059
MD.model.ptg000007l.1239,ptg000007lG001060
MD.model.ptg000007l.124,ptg000007lG000092
MD.model.ptg000007l.1240,ptg000007lG001061
MD.model.ptg000007l.1241,ptg000007lG001062
MD.model.ptg000007l.1242,ptg000007lG001063
MD.model.ptg000007l.1243,ptg000007lG001064
MD.model.ptg000007l.1244,ptg000007lG001065
MD.model.ptg000007l.1245,ptg000007lG001066
MD.model.ptg000007l.1246,ptg000007lG001067
MD.model.ptg000007l.1247,ptg000007lG001068
MD.model.ptg000007l.1248,ptg000007lG001069
MD.model.ptg000007l.1249,ptg000007lG001070
MD.model.ptg000007l.1250,ptg000007lG001071
MD.model.ptg000007l.1251,ptg000007lG001072
MD.model.ptg000007l.1252,ptg000007lG001073
MD.model.ptg000007l.1253,ptg000007lG001074
MD.model.ptg000007l.1254,ptg000007lG001075
MD.model.ptg000007l.1255,ptg000007lG001076
MD.model.ptg000007l.1258,ptg000007lG001077
MD.model.ptg000007l.1259,ptg000007lG001078
MD.model.ptg000007l.126,ptg000007lG000093
MD.model.ptg000007l.1265,ptg000007lG001079
MD.model.ptg000007l.1270,ptg000007lG001080
MD.model.ptg000007l.1271,ptg000007lG001081
MD.model.ptg000007l.1272,ptg000007lG001082
MD.model.ptg000007l.1273,ptg000007lG001083
MD.model.ptg000007l.1274,ptg000007lG001084
MD.model.ptg000007l.1276,ptg000007lG001085
MD.model.ptg000007l.128,ptg000007lG000094
MD.model.ptg000007l.1280,ptg000007lG001087
MD.model.ptg000007l.1282,ptg000007lG001088
MD.model.ptg000007l.1284,ptg000007lG001089
MD.model.ptg000007l.1285,ptg000007lG001090
MD.model.ptg000007l.1286,ptg000007lG001091
MD.model.ptg000007l.1287,ptg000007lG001092
MD.model.ptg000007l.1288,ptg000007lG001093
MD.model.ptg000007l.1289,ptg000007lG001094
MD.model.ptg000007l.129,ptg000007lG000095
MD.model.ptg000007l.1290,ptg000007lG001095
MD.model.ptg000007l.1291,ptg000007lG001096
MD.model.ptg000007l.1292,ptg000007lG001097
MD.model.ptg000007l.1293,ptg000007lG001098
MD.model.ptg000007l.1294,ptg000007lG001099
MD.model.ptg000007l.1295,ptg000007lG001100
MD.model.ptg000007l.1296,ptg000007lG001101
MD.model.ptg000007l.1297,ptg000007lG001102
MD.model.ptg000007l.1298,ptg000007lG001103
MD.model.ptg000007l.1299,ptg000007lG001104
MD.model.ptg000007l.13,ptg000007lG000006
MD.model.ptg000007l.1300,ptg000007lG001105
MD.model.ptg000007l.1301,ptg000007lG001106
MD.model.ptg000007l.1302,ptg000007lG001107
MD.model.ptg000007l.1304,ptg000007lG001108
MD.model.ptg000007l.1307,ptg000007lG001109
MD.model.ptg000007l.1308,ptg000007lG001110
MD.model.ptg000007l.131,ptg000007lG000096
MD.model.ptg000007l.1310,ptg000007lG001111
MD.model.ptg000007l.1311,ptg000007lG001112
MD.model.ptg000007l.1312,ptg000007lG001113
MD.model.ptg000007l.1313,ptg000007lG001114
MD.model.ptg000007l.1314,ptg000007lG001115
MD.model.ptg000007l.1316,ptg000007lG001116
MD.model.ptg000007l.1317,ptg000007lG001117
MD.model.ptg000007l.1318,ptg000007lG001118
MD.model.ptg000007l.1319,ptg000007lG001119
MD.model.ptg000007l.132,ptg000007lG000097
MD.model.ptg000007l.1320,ptg000007lG001120
MD.model.ptg000007l.1321,ptg000007lG001121
MD.model.ptg000007l.1322,ptg000007lG001122
MD.model.ptg000007l.1323,ptg000007lG001123
MD.model.ptg000007l.1324,ptg000032lG000635
MD.model.ptg000007l.1325,ptg000007lG001125
MD.model.ptg000007l.1326,ptg000007lG001126
MD.model.ptg000007l.1327,ptg000007lG001127
